symbol,side,entry_date,entry_px,exit_date,exit_px,qty,pnl,exit_reason,days_held
MPHASIS,L,2021-01-11,1660.0,2021-01-20,1628.0,15,-480.0,EMA13,9
ALKEM,L,2021-01-18,3080.0,2021-01-25,3056.0,8,-192.0,EMA13,7
BAJFINANCE,L,2021-01-20,496.8,2021-01-25,504.9,50,405.0,EMA13,5
CHOLAFIN,L,2021-01-25,435.0,2021-01-27,422.45,57,-715.35,EMA13,2
EICHERMOT,L,2021-01-19,2888.0,2021-01-28,2780.0,8,-864.0,EMA13,9
ASHOKLEY,L,2021-01-19,57.95,2021-01-28,56.3,431,-711.15,EMA13,9
EICHERMOT,L,2021-01-28,2780.0,2021-01-29,2812.4,8,259.2,EMA13,1
SRF,L,2021-01-28,1063.0,2021-01-29,1081.0,23,414.0,EMA13,1
VOLTAS,L,2021-01-27,941.0,2021-02-01,906.05,26,-908.7,EMA13,5
HDFCBANK,L,2021-01-29,695.67,2021-02-01,705.12,35,330.93,EMA13,3
APOLLOHOSP,L,2021-01-29,2622.6,2021-02-01,2590.0,9,-293.4,EMA13,3
ALKEM,L,2021-02-03,2911.0,2021-02-04,2956.25,8,362.0,EMA13,1
PERSISTENT,L,2021-02-04,837.45,2021-02-19,841.0,29,102.95,EMA13,15
BAJFINANCE,L,2021-02-03,521.86,2021-02-22,548.0,47,1228.58,EMA13,19
BAJAJFINSV,L,2021-02-03,956.16,2021-02-23,1005.1,26,1272.44,EMA13,20
APOLLOHOSP,L,2021-02-19,3090.1,2021-03-08,2901.0,8,-1512.8,EMA13,17
JUBLFOOD,L,2021-02-22,591.99,2021-03-09,607.02,42,631.26,EMA13,15
IRCTC,L,2021-03-08,392.0,2021-03-17,381.0,63,-693.0,EMA13,9
CHOLAFIN,L,2021-02-03,444.75,2021-03-18,534.5,56,5026.0,EMA13,43
LTTS,L,2021-03-09,2731.9,2021-03-18,2639.0,9,-836.1,EMA13,9
TATACOMM,L,2021-03-17,1177.0,2021-03-18,1162.9,21,-296.1,EMA13,1
TIINDIA,L,2021-02-23,1059.7,2021-03-23,1137.1,23,1780.2,EMA13,28
JINDALSTEL,L,2021-03-22,313.0,2021-03-24,311.0,79,-158.0,EMA13,2
